Ind;fameff;bloc;PU;rg;n;fam;trait;oid4_09;oid5_10;oid5_11;oid4_12;gel_13;oid2_13;oid_16;oid_17;pgland;date_em;Hfin09;Hfin10;Hfin11;Hfin12;Hdeb14;Hdeb15;Hdeb16;Hdeb17;diam16;an_mort;H09v;H10v;H11v;H12v;H14v;H15v;H16v;H17v;exp;oid_moy;survie2017
A1E21;9;1;1;5;21;9;nat;5;40.5;0;16;0;5;100;5;2.6;135;11;15;12;13;22;27;33;33;3.7;vivant;11;15;12;13;22;27;33;33;exp;13.3;1
A1E22;71;1;1;5;22;72;nat;30;42;47;8;0;25;;;6.1;224;11;17;20;20;0;0;0;0;;2014;11;17;20;20;;;;;exp;30.4;0
A1E23;71;1;1;5;23;72;nat;20;41.1;60;8;1;25;100;2;9.3;135;14;37;46;46;36;35;35;33;3.8;vivant;14;37;46;46;36;35;35;33;exp;30.82;1
A1E24;76;1;1;5;24;76;nat;5;31.5;48;3;0;25;50;0;3.5;186;8;25;30;29;26;18;22;13;1.9;vivant;8;25;30;29;26;18;22;13;exp;22.5;1
A1E25;1;1;1;5;25;1;nat;10;37.3;30.5;0;0;25;70;8;7.8;135;15.5;28;36;36;38;40;30;44;4;vivant;15.5;28;36;36;38;40;30;44;exp;20.56;1
A1E26;45;1;1;5;26;45;nat;;;;;;;;;6.7;;;;;;;;;;;g;;;;;;;;;exp;;
A1E27;1;1;1;5;27;1;nat;20;27.8;53;8;0;25;;;5.3;153;11;21;25;23;0;0;0;0;;2014;11;21;25;23;;;;;exp;26.76;0
A1E28;75;1;1;5;28;75;nat;30;33.25;3;8;1;25;;;4.2;135;16;37;37;38;0;0;0;0;;2014;16;37;37;38;;;;;exp;19.85;0
A1E29;48;1;1;5;29;48;nat;20;30.65;37;3;0;25;75;0;5.8;135;12;23;27;28;13;22;24;22;4.9;vivant;12;23;27;28;13;22;24;22;exp;23.13;1
A1E3;73;1;1;5;3;73;nat;10;19.5;8;24;0;0;;;3.6;153;8;18;22;22;0;10;12;13;2;vivant;8;18;22;22;;10;12;13;exp;12.3;1
A1E30;73;1;1;5;30;73;nat;20;32.95;42;6;1;50;100;0;4.4;135;16;38;48;50;52;61;72;14;7.3;vivant;16;38;48;50;52;61;72;14;exp;30.19;1
A1E31;77;1;1;5;31;77;nat;;;;;;;;;1.4;;;;;;;;;;;g;;;;;;;;;exp;;
A1E32;27;1;1;5;32;27;nat;;;;;;;;;5.5;;;;;;;;;;;g;;;;;;;;;exp;;
A1E33;75;1;1;5;33;75;nat;;;;;;;;;1.3;;;;;;;;;;;g;;;;;;;;;exp;;
A1E34;72;1;1;5;34;72;nat;20;28;75;6;0;25;95;12;6.6;135;13.5;22;30;30;31;31;31;28;8.8;vivant;13.5;22;30;30;31;31;31;28;exp;30.8;1
A1E35;71;1;1;5;35;72;nat;20;40.2875;16.5;16;1;25;;;6.7;153;13.5;35;40;40;0;0;0;0;;2014;13.5;35;40;40;;;;;exp;23.5575;0
A1E36;11;1;1;5;36;11;nat;10;22.1;30.5;16;1;25;85;0;3.4;153;8;22;30;27;16;25;26;24;4.4;vivant;8;22;30;27;16;25;26;24;exp;20.72;1
A1E37;48;1;1;5;37;48;nat;;;;;;;;;4.9;;;;;;;;;;;g;;;;;;;;;exp;;
A1E38;70;1;1;5;38;70;nat;;;;;;;;;2.5;;;;;;;;;;;g;;;;;;;;;exp;;
A1E39;74;1;1;5;39;74;nat;;;;;;;;;1.6;;;;;;;;;;;g;;;;;;;;;exp;;
A1E40;1;1;1;5;40;1;nat;20;37.3125;39;3;0;25;50;3;5.1;153;19;32;30;32;14;18;25;30;4.8;vivant;19;32;30;32;14;18;25;30;exp;24.8625;1
A1E41;51;1;1;5;41;51;nat;;;;;;;;;2.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1E43;1;1;1;5;43;1;nat;20;40.4;30;6;0;25;;;3.7;135;10;13;17;17;4;3;0;0;;2016;10;13;17;17;4;3;;;exp;24.28;0
A1E44;27;1;1;5;44;27;nat;30;27;19;0;1;25;70;5;6.7;135;16;17;21;23;16;28;44;30;5.7;vivant;16;17;21;23;16;28;44;30;exp;20.2;1
A1E45;27;1;1;5;45;27;nat;;;;;;;;;4.8;;;;;;;;;;;g;;;;;;;;;exp;;
A1E46;1;1;1;5;46;1;nat;40;50.8;20;3;0;0;60;10;5.9;135;29.5;40;39;38;9;18;31;32;5.8;vivant;29.5;40;39;38;9;18;31;32;exp;22.76;1
A1E47;72;1;1;5;47;72;nat;;;;;;;;;5;;;;;;;;;;;g;;;;;;;;;exp;;
A1E5;71;1;1;5;5;71;nat;;;;;;;;;6.7;;;;;;;;;;;g;;;;;;;;;exp;;
A1E7;9;1;1;5;7;9;nat;;;;;;;;;1.8;;;;;;;;;;;g;;;;;;;;;exp;;
A1E8;9;1;1;5;8;9;nat;10;32;23;6;1;50;100;15;5.9;135;12;17;25;23;19;23;29;27;4.9;vivant;12;17;25;23;19;23;29;27;exp;24.2;1
A1H10;1;1;1;8;10;1;nat;10;38.75;52;18;0;50;;;6.1;135;15;25;34;34;0;0;0;0;;2014;15;25;34;34;;;;;exp;33.75;0
A1H11;72;1;1;8;11;72;nat;20;37.0625;65;9;1;25;;;4;135;9;38;45;46;9;16;7;0;1.4;2017;9;38;45;46;9;16;7;;exp;31.2125;0
A1H12;74;1;1;8;12;74;nat;0;27;22;6;0;50;;;5.2;135;7;17;21;21;10;19;3;0;1;2017;7;17;21;21;10;19;3;;exp;21;0
A1H13;11;1;1;8;13;11;nat;;;;;;;;;4.1;;;;;;;;;;;g;;;;;;;;;exp;;
A1H14;72;1;1;8;14;72;nat;10;25;36;6;0;50;;;5.9;186;8;16;16;12;0;0;0;0;;2014;8;16;16;12;;;;;exp;25.4;0
A1H15;11;1;1;8;15;11;nat;30;22.5;45.5;0;1;50;;;4.8;153;15.5;26;33;35;0;0;0;0;;2014;15.5;26;33;35;;;;;exp;29.6;0
A1H16;73;1;1;8;16;73;nat;10;25.875;73;27;1;50;100;5;5.5;135;10.5;31;45;45.5;26;28;32;24;5.3;vivant;10.5;31;45;45.5;26;28;32;24;exp;37.175;1
A1H17;70;1;1;8;17;70;nat;;;;;;;;;4.6;;;;;;;;;;;g;;;;;;;;;exp;;
